குமரேச சதகம் சொல்லடைவு

அக்கினி - 41.3 
அக்கினியை - 14.1 
அகத்தியம் - 26.3 
அகப்பட்ட - 53.1 
அகப்பட்டு - 25.2; 53.1 
அகம்இல்லை - 12.2 
அகம்இன்றி - 13.3 
அகரங்கள் - 33.1 
அகலவைப்பார் - 43.2 
அகற்றலாம் - 41.3 
அகற்றினோனே - 10.1 
அகன்றிடலும் - 86.1 
அகிர்த்திய - 14.1 
அங்க - 12.3 
அங்காரக - 44.1 
அங்குஇருக்கும் - 57.1,3 
அங்குவரு - 81.2 
அங்கே - 80.1; 89.3; 90.2 
அச்சமோ - 67.2 
அசடர்பெரியோர் - 17.2 
அசம்கரம்தூள் - 38.3 
அசுத்தநிலம் - 89.3 
அஞ்சல்என்று - 8.2 
அஞ்சல்என - 99.1 
அஞ்சலார் - 83.3 
அஞ்சா - 11.2; 14.1 
அஞ்சாமல் - 44.1; 72.2 
அஞ்சினோர்க்கு - 10.1 
அட்டமச்சனி - 44.1 
அடக்கம்இல் - 14.2 
அடக்கமும் - 88.2 
அடக்கையால் - 32.1 
அடகு - 6.2 
அடங்குதலும் - 86.2 
அடர்கழுதை - 29.2 
அடர்கேதனத்திலும் - 37.3 
அடாது - 62.2 
அடிதொடைகள் - 88.1 
அடிப்பதற்கு - 87.2 
அடிமையை - 14.2 
அடியில் - 87.2 
அடுக்கினும் - 22.3 
அடுத்தது - 40.3 
அடுத்ததும் - 45.3 
அடுத்தபேரும் - 97.1 
அடுத்தலால் - 72.4 
அடுத்திடும் - 45.1 
அடுத்து - 24.1 
அடுத்துவரு - 96.1 
அடுத்தோர்க்கு - 42.3 
அடுபகைவரில்தப்பி - 96.1 
அடைக்கலம் - 99.1 
அடைகாக்கும் - 94.1 
அடைந்ததுஎன்ன - 46.1 
அடைமனையில் - 38.3 
அடையாமல் - 48.3 
அடைவுடன் - 25.2; 76.3 
அண்டர்எல்லாம் - 46.1 
அண்டி - 72.3 
அண்டிநிற்கின்றபல - 45.1 
அண்டிநின்றே - 43.1 
அண்டிவரும் - 97.1 
அண்ணாந்து - 90.1 
அணிந்தமுருகா - 55.4; 81.4 
அணியும்மணி - 3.4 
அணுகாது - 57.2; 90.2 
அணுகாமல் - 57.1,2 
அணுவாகிலும் - 6.3 
அணை - 53.2 
அத்திரம் - 82.4 
அதர்தான் - 92.1 
அதனால் - 86.3 
அதனில் - 50.1 
அதிக - 7.3; 58.3; 76.3 
அதிககுணமான - 37.3 
அதிகம் - 43.1 
அதிகம்ஆமோ - 48.1 
அதிகம்உள் - 32.3 
அதிகாரமும் - 7.3 
அதிபனே - 70.4 
அதினும் - 89.3 
அது - 49.2; 71.1; 86.1 
அதுகண்டு - 71.2 
அதுகொண்டு - 34.3 
அதுசெயின் - 45.3 
அதுதடுக்கும் - 80.2 
அதுதேயவும் - 50.1 
அந்தணர்க்கு - 27.1; 83.3 
அந்தந்த - 71.3 
அந்தமிகு - 45.3 
அந்நாளில் - 42.4 
அநியாய - 59.4 
அநியாயம் - 14.1 
அநேகம் - 55.3 
அப்படிஆகுமே - 50.3 
அப்போது - 87.2 
அப்போதும் - 81.1 
அபகரித்தோர் - 20.4 
அபயம் - 101.1 
அபிமானம் - 5.1 
அம்கானகத்தில் - 17.2 
அம்தாரம்இல்லைதொடர் - 67.2 
அம்பலத்து - 18.1 
அம்பலம் - 58.1; 89.1 
அம்புவியில் - 86.3 
அம்போருகம் - 26.2 
அமரில்முறியான் - 68.1 
அமிர்தம் - 46.1 
அமிர்தவாய் - 58.3 
அமுக்கியே - 48.2 
அமுதபானம் - 81.1 
அமுதினைக்கடையும் - 90.4 
அமுதினொடு - 92.2 
அமைச்சர் - 20.2 
அமைத்தபடி - 22.3; 48.3 
அமைத்தல் - 5.2 
அமைப்பார் - 74.1 
அமையவேண்டும் - 88.1 
அயலோர்இலை - 12.3 
அயனுக்குஒரு - 46.2 
அர்ச்சனைகள் - 65.3 
அர்ச்சித்து - 73.3 
அரசர் - 4.3; 16.3; 53.3; 102.3 
அரசர்க்கு - 5.4 
அரசர்தாமும் - 71.1 
அரசர்பகையும் - 24.1 
அரசரது - 61.1 
அரசனாம் - 13.1 
அரசு - 8.2 
அரசுஅடக்கிய - 20.2 
அரசுஏது - 82.2 
அரசுநிழலில் - 38.2 
அரவமனைஆம் - 35.2 
அரவினொடு - 83.3 
அரனை - 86.4 
அரிஅர - 3.2 
அரிச்சந்திரன் - 47.2 
அரிதான - 53.1; 95.1 
அரிந்தவனைமுன் - 99.2 
அரிய - 27.1 
அரியகருணீகர் - 24.1 
அரியகுணம் - 29.2 
அரியகுருவே - 10.1 
அரியதொரு - 89.3 
அரியநூல் - 29.2 
அருங்காடு - 46.1 
அருச்சனைசெயல் - 101.2 
அருச்சுனன் - 99.1 
அருஞ்செல்வம் - 65.4 
அருணகிரி - 64.4 
அருந்ததி - 26.3 
அருந்தவர் - 20.2 
அருந்துளசி - 37.3 
அரும் - 78.3 
அருமை - 56.3; 83.1 
அருமையை - 56.1,1,2 
அருள் - 64.4; 88.4 
அருள்இலா - 24.1 
அருள்செய்த - 54.4 
அருள்புரியவே - 2.4 
அருளாளனே - 67.4; 80.4; 97.4 
அருளுவாய் - 79.4 
அரைக்காசு - 54.2 
அல்குலோதண்டம் - 58.3 
அல்ல - 51.3 
அல்லவோ - 93.3 
அல்லாது - 36.4; 79.2; 87.4 
அல்லாதுகை - 96.3 
அல்லாமல் - 73.3; 86.3 
அல்லால் - 22.3; 76.3 
அலகைகட்கு - 95.1 
அலங்காரம் - 88.2 
அலர்தரு - 37.3 
அலாதுதருமோ - 39.2 
அலாப்பிணியை - 14.3 
அலால் - 14.3 
அலுவல்பார் - 74.3 
அலைஎறிய - 76.4 
அலைகளையும் - 66.1 
அவ்இரு - 87.3 
அவதரித்தமுதலே - 62.4 
அவம் - 8.2 
அவர் - 6.2; 70.3 
அவர்அவர் - 49.3 
அவர்அவர்க்கு - 5.1 
அவர்அவர்கள் - 22.3 
அவர்இல்லம் - 64.1 
அவர்க்கு - 58.3 
அவர்க்குநரகு - 89.3 
அவர்கள்குணம் - 45.3 
அவர்களது - 19.3 
அவர்களொடு - 70.3 
அவர்செவிக்கு - 43.1 
அவர்முகத்தினில் - 64.2 
அவன் - 74.4 
அவன்விழ - 87.3 
அவனே - 13.1,3; 60.2 
அவனேகுரவன்ஆம் - 60.3 
அவிவேகி - 54.2 
அவை - 91.2 
அவைஉதாசீனத்தை - 14.3 
அவைஎய்யவேண்டும் - 87.1 
அழகா - 12.4 
அழகாய் - 29.2 
அழகில்லை - 12.2 
அழலுக்குளே - 95.1 
அழிக்கும் - 93.1 
அழிந்த - 49.3 
அழியாத - 33.1 
அழியாதுஎன - 93.3 
அழுத்தம்மிகு - 88.2 
அழுத்தின்என்ஆம் - 100.2 
அழுந்தல்உற - 90.2 
அழுந்துவோர் - 34.2 
அழைத்தல்நன்று - 54.1 
அளவிடக்கூடுமோ - 66.3 
அளவில் - 50.2; 74.1 
அளவில்கொடாது - 68.2 
அளவிலே - 68.1 
அளவும்தன் - 68.3 
அளித்தபொருளும் - 95.3 
அளித்தே - 39.2 
அற்பர்க்கு - 43.1 
அற்பரது - 15.2 
அற்பரை - 97.1 
அற்றைநாள் - 96.1 
அறம்இல்லை - 67.2 
அறம்ஏது - 82.2 
அறமும்செயார் - 36.1 
அறிதல் - 5.1,3 
அறிந் - 36.3 
அறிந்து - 28.1 
அறிந்துசேர் - 72.3 
அறிந்துசொலும் - 13.2 
அறியலாம் - 40.1,1,1,2,2,3,3,3,3 
அறியலாம்குணங் - 40.2 
அறியார்பொருளை - 83.1 
அறியும்முதியோன் - 13.3 
அறியுமோ - 56.3 
அறிவதுஉண்டோ - 56.1 
அறிவர் - 56.1,1,3,3 
அறிவளோ - 56.2 
அறிவினால் - 76.3 
அறிவு - 5.3 
அறிவுஇல்லை - 67.2 
அறிவுளோர் - 71.2 
அறுத்து - 8.2 
அறைகுறளும் - 80.1 
அன்பர்இடர் - 3.3 
அன்பாக - 73.3 
அன்பாய் - 94.2 
அன்பான - 10.1; 13.4; 88.2; 96.1 
அன்பில்லை - 12.2 
அன்புவைத்து - 60.2 
அன்புள - 8.2 
அன்றியே - 67.1; 68.1 
அன்றிவருமோ - 22.3; 48.3 
அன்றுஅடக்குவது - 14.3 
